Batter,BatterTeam,BatterSide,ExitSpeed,Angle,Direction,Bearing,Distance,HitType
Danny Wuestenfeld,Joliet Slammers,Right,70.98,-78.15,-74.19,-0.96,2.29,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,39.39,-33.3,-6.92,-17.56,5.45,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,71.84,-32.25,-12.03,-4.2,4.73,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,52.76,-29.33,-24.61,-23.01,5.91,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,94.3,-22.09,21.48,23.86,7.32,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,79.86,-17.42,-39.39,-32.63,110.93,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,96.59,-17.4,-12.98,-12.2,5.73,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,100.02,-16.91,8.76,7.93,5.39,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,96.93,-16.27,-17.72,-11.94,8.78,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,98.08,-14.26,-9.26,-9.26,9.94,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,73.15,-11.5,-11.4,-8.47,13.87,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,80.69,-5.86,-30.86,7.93,10.3,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,93.43,-5.85,33.81,41.9,18.35,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,89.88,-5.39,-16.13,-15.82,15.22,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,79.85,-3.45,-6.12,-2.9,73.2,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,80.87,-0.42,40.42,42.88,60.26,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,96.43,-0.39,39.35,40.35,38.52,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,94.51,1.38,-28.17,-22.56,9.98,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,102.02,4.07,37.09,40.75,131.02,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,97.15,5.15,14.32,16.9,86.51,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,101.21,5.81,24.89,31.82,195.73,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,112.45,6.14,-40.24,-42.96,118.47,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,80.28,8.1,-10.95,-13.71,138.05,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,101.82,10.41,24.49,34.26,240.64,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,101.73,11.05,-5.27,-4.36,249.51,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,106.96,11.37,-22.53,-25.72,165.64,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,108.63,12.53,-31.73,-40.49,278.17,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,105.88,12.67,-26.02,-31.72,235.8,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,48.12,12.84,29.35,32.49,76.83,GroundBall
Danny Wuestenfeld,Joliet Slammers,Right,96.48,14.23,-7.92,-3.25,268.72,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,104.79,14.41,-6.18,-12.8,297.22,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,103.34,14.79,23.81,33.89,306.44,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,101.99,15.61,-30.86,-36.36,241.47,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,78.36,16.39,6.79,12.57,212.44,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,65.59,19.37,-27.72,-30.53,177.68,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,100.08,19.44,4.72,13.27,325.42,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,99.35,21.57,-32.92,-40.64,323.99,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,99.68,23.85,-12.36,-14.43,387.19,LineDrive
Danny Wuestenfeld,Joliet Slammers,Right,85.24,25.2,6.42,14.15,297.79,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,92.9,26.91,18.39,30.83,341.49,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,96.46,27.72,12.87,24.29,341.09,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,102.86,28.71,-26.91,-32.91,397.68,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,108.65,35.85,-22.21,-27.8,415.03,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,53.11,36.77,-27.89,-27.01,154.27,Popup
Danny Wuestenfeld,Joliet Slammers,Right,68.68,38.25,9.66,13.54,220.98,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,93.75,42.57,-21.43,-27.35,289.21,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,89.71,49.69,-4.79,-2.62,300.97,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,89.58,50.48,-9.85,2.8,254.32,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,92.67,51.35,-4.91,1.44,236.22,Popup
Danny Wuestenfeld,Joliet Slammers,Right,75.53,51.65,-1.61,-4.56,197.09,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,92.93,53.34,-10.73,-9.85,254.32,FlyBall
Danny Wuestenfeld,Joliet Slammers,Right,,,,,,
Paul Toetz,Joliet Slammers,Right,76.31,-74.57,-14.14,10.63,1.14,GroundBall
Paul Toetz,Joliet Slammers,Right,70,-53.58,-1.46,-1.46,2.56,GroundBall
Paul Toetz,Joliet Slammers,Right,55.03,-47.71,-2.63,0,2.63,GroundBall
Paul Toetz,Joliet Slammers,Right,56.48,-43.26,-54.39,-22.35,3.2,GroundBall
Paul Toetz,Joliet Slammers,Right,88.61,-42.39,0.11,1.27,2.29,GroundBall
Paul Toetz,Joliet Slammers,Right,62.22,-39.35,17.06,14.23,3.04,GroundBall
Paul Toetz,Joliet Slammers,Right,84.79,-36.94,-38.06,-27.34,4.8,GroundBall
Paul Toetz,Joliet Slammers,Right,76.46,-34.16,13.27,12.87,5.36,GroundBall
Paul Toetz,Joliet Slammers,Right,68.85,-32.42,7.45,12.22,3.59,GroundBall
Paul Toetz,Joliet Slammers,Right,89.66,-31.18,-24.65,-17.69,4.52,GroundBall
Paul Toetz,Joliet Slammers,Right,59.74,-30.97,-19.32,-6.05,4.23,GroundBall
Paul Toetz,Joliet Slammers,Right,59.74,-30.97,-19.32,-6.05,4.23,GroundBall
Paul Toetz,Joliet Slammers,Right,65.24,-26.94,-9.25,-7.59,7.39,GroundBall
Paul Toetz,Joliet Slammers,Right,91.05,-24.27,-49.25,-28.17,4.96,GroundBall
Paul Toetz,Joliet Slammers,Right,87.25,-23.39,-5.32,-0.19,5.02,GroundBall
Paul Toetz,Joliet Slammers,Right,87.25,-23.39,-5.32,-0.19,5.02,GroundBall
Paul Toetz,Joliet Slammers,Right,89.71,-22.75,-9.61,-9.61,8.71,GroundBall
Paul Toetz,Joliet Slammers,Right,71.91,-21.39,-17.75,-4.89,5.75,GroundBall
